 %-ile |  Read (ms) | Write (ms) | Total (ms)| vmName | date | timeUTC | type
   75th |      0.794 |      0.561 |      0.694 | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
   90th |      5.883 |      0.798 |      4.331 | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
   95th |     39.533 |     34.173 |     38.415 | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
   99th |     52.214 |     47.348 |     50.830 | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
3-nines |     74.419 |    696.871 |    160.009 | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
4-nines |     96.122 |   1361.376 |   1257.281 | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
5-nines |    106.671 |   1445.496 |   1431.850 | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
6-nines |    122.147 |   1456.302 |   1455.906 | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
7-nines |    122.147 |   1456.302 |   1456.302 | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
8-nines |    122.147 |   1456.302 |   1456.302 | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
9-nines |    122.147 |   1456.302 |   1456.302 | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
    max |    122.147 |   1456.302 |   1456.302 | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
