thread |       bytes     |     I/Os     |    MiB/s   |  I/O per s |  AvgLat  | LatStdDev |  file | vmName | date | timeUTC | type
total|       38699663360 |       590510 |     123.02 |    1968.37 |    1.445 |     6.756 | | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     0 |      3669295104 |        55989 |      11.66 |     186.63 |    4.348 |    38.495 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     1 |      3579969536 |        54626 |      11.38 |     182.09 |    4.595 |    41.165 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     2 |      3707109376 |        56566 |      11.78 |     188.55 |    4.350 |    38.336 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     3 |      3676110848 |        56093 |      11.69 |     186.98 |    4.381 |    39.384 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     4 |      3755737088 |        57308 |      11.94 |     191.03 |    4.257 |    37.920 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     5 |      3490643968 |        53263 |      11.10 |     177.54 |    4.699 |    40.309 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     6 |      3696492544 |        56404 |      11.75 |     188.01 |    4.415 |    40.377 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     7 |      3832610816 |        58481 |      12.18 |     194.94 |    4.207 |    36.927 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
total|       29407969280 |       448730 |      93.49 |    1495.77 |    4.403 |    39.109 | | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
